unit,top_md_m,bottom_md_m
Upper North Sea Group,0.00,315.00
Veldhoven Clay Member,315.00,500.00
Rupel Clay Member,500.00,629.00
Vessem Member,629.00,655.00
Landen Clay Member,655.00,695.00
Gelinden Member,695.00,715.00
Heers Member,715.00,739.00
Swalmen Member,739.00,746.00
Houthem Formation,746.00,770.00
Maastricht Formation,770.00,793.00
Nederweert Sandstone Member,793.00,1062.00
Zechstein Upper Claystone Formation,1062.00,1077.00
Z3 (Leine) Formation,1077.00,1105.00
Z2 (Stassfurt) Formation,1105.00,1140.00
Epen Formation,1140.00,1752.00
Geverik Member,1752.00,1818.00
Zeeland Formation,1818.00,2522.00
Bosscheveld Formation,2522.00,2695.00
Farne Group,2695.00,3037.20
